date,trial_num,trial_date,matings,female_age,treatment,vial,trial_start,mating_start,mating_end,male_type,mating_latency,trial_duration,courtship_bouts,mated?,notes,
2023-11-23,1,nov_23,some,14,medium,19,9:25:34 AM,NA,NA,glued,,10800,0,,,
2023-11-23,1,nov_23,some,14,high,19,9:27:41 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,19,9:26:47 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,medium,20,9:26:58 AM,NA,NA,glued,,10800,5,,,
2023-11-23,1,nov_23,some,14,high,20,9:28:26 AM,,,normal,,10800,5,,,
2023-11-23,1,nov_23,some,14,low,20,9:28:27 AM,NA,NA,glued,,10800,0,,,
2023-11-25,2,nov_25,some,16,high,1,9:05:59 AM,,,normal,,10800,0,,,
2023-11-25,2,nov_25,some,16,low,1,9:06:00 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,1,9:06:56 AM,9:49:44 AM,9:59:36 AM,normal,2568,3160,4,y,,
2023-11-25,2,nov_25,some,16,high,2,9:06:42 AM,12:02:45 PM,12:22:23 PM,normal,10563,11741,5,y,,
2023-11-25,2,nov_25,some,16,low,2,9:08:54 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,2,9:08:57 AM,,,normal,,10800,0,,,
2023-11-25,2,nov_25,some,16,high,3,9:09:00 AM,9:17:14 AM,9:36:17 AM,normal,494,1637,1,y,,
2023-11-25,2,nov_25,some,16,low,3,dead,NA,NA,glued,,10800,NA,,,
2023-11-25,2,nov_25,some,16,medium,3,9:09:18 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,high,4,9:10:11 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,4,9:10:12 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,4,9:10:12 AM,11:40:40 AM,11:54:21 AM,normal,9028,9849,5,y,,
2023-11-25,2,nov_25,some,16,high,5,9:10:52 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,5,9:10:52 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,5,9:10:53 AM,10:15:11 AM,10:34:26 AM,normal,3858,5013,4,y,,
2023-11-25,2,nov_25,some,16,high,6,9:13:42 AM,9:22:03 AM,9:42:46 AM,normal,501,1744,1,y,,
2023-11-25,2,nov_25,some,16,low,6,9:13:43 AM,NA,NA,glued,,10800,2,,,
2023-11-25,2,nov_25,some,16,medium,6,9:13:43 AM,11:12:35 AM,11:40:57 AM,normal,7132,8834,1,y,,
2023-11-25,2,nov_25,some,16,high,7,9:13:44 AM,9:43:01 AM,10:03:07 AM,normal,1757,2963,1,y,,
2023-11-25,2,nov_25,some,16,low,7,9:13:44 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,7,9:13:45 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,high,8,9:14:50 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,low,8,9:14:50 AM,NA,NA,glued,,10800,5,,,
2023-11-25,2,nov_25,some,16,medium,8,9:14:51 AM,,,normal,,10800,5,,,
2023-11-25,2,nov_25,some,16,high,9,9:16:05 AM,,,normal,,10800,5,,,
